location,url
Fisherman's Warf Taipei Thailand,"  https://www.youtube.com/watch?v=xwAWSh35uuw"
Northern Mariana Islands https://www.earthcam.com/world/northernmarianaislands/saipan/?cam=saipan,
Kinmen Taiwan," https://www.youtube.com/watch?v=-srNHTE-Nf0"
Jiangong Islet | Tiny but Punching above its Weight in Reasons to Visit – 4K Live Camera," https://www.youtube.com/watch?v=uh_yNAE01w8"
Chale Island Africa," http://www.chale-eye.com/"
Diana Beach Kenya," http://www.dianieye.com/"
Moscow Skyline Camera," https://www.earthcam.com/world/russia/moscow/?cam=moscow_hd"
pattaya Thailand," https://www.earthcam.com/world/thailand/pattaya/?cam=pattaya"
kauai beach Hawaii," https://www.earthcam.com/usa/hawaii/kauai/?cam=kauai"
Meads Bay Anguilla," https://www.earthcam.com/world/anguilla/meadsbay/?cam=meadsbay_hd"
"Lanzarote Airport (ACE | GCRR) and Lanzarote Military Airfield in Canary Islands, Spain.",https://www.youtube.com/watch?v=doqBgKIBBh8
"Saint Petersberg, Russia",https://www.youtube.com/watch?v=_gG-_mNaVno
Tokyo Odaiba,https://www.youtube.com/watch?v=n3B8fp-Henc
Duluth Canal Minnesota,https://www.youtube.com/watch?v=9k_sg8rhsgk
Duluth Bayfront Cam,https://www.youtube.com/watch?v=Jc4LpjP67Nw
d1, https://www.youtube.com/watch?v=9k_sg8rhsgk&t=0s
d2, https://www.youtube.com/watch?v=BzwWjdZXymc&t=0s
d3, https://www.youtube.com/watch?v=nCf7X2cPDAY&t=0s
d4, https://www.youtube.com/watch?v=m2wWzo9GmwY&t=0s
d5, https://www.youtube.com/watch?v=T1Dm51TaWMY&t=0s
d6, https://www.youtube.com/watch?v=vCBaTTC7FHs&t=0s
d7, https://www.youtube.com/watch?v=Jc4LpjP67Nw&t=0s
d8, https://www.youtube.com/watch?v=G7u1XXLBbrY&t=0s
d9, https://www.youtube.com/watch?v=vqCD00PD5pk&t=0s
d10,https://www.youtube.com/watch?v=_L0u39B732I&t=0s
d11,https://www.youtube.com/watch?v=Arf54yKFp2Y&t=0s
d12,https://www.youtube.com/watch?v=i2rSgt5t_p4&t=0s
d13,https://www.youtube.com/watch?v=8NlISOaq6jg&t=0s
d14,https://www.youtube.com/watch?v=rCec9HDbFwA&t=0s
d15,https://www.youtube.com/watch?v=zTVWJ3Mc0Ag&t=0s
Saint-Denis YCO France, https://www.youtube.com/watch?v=8VOZJhA-T1g
Tokyo Shibuya https://www.youtube.com/watch?v=VyIt_UF7l0s
Shibuya-ku Tokyo,https://www.youtube.com/watch?v=CDK_bneGuvw
Tiana Beach Hampton Bays New York,https://www.youtube.com/watch?v=vCYD6jNcisg
Seoul Han River South Korea, https://www.youtube.com/watch?v=zLIFGvFZHic
Laguna Est Venice - Stream from Cantieri Biasin, https://www.youtube.com/watch?v=h1h8GqED1jA
Laguna Nord Venice - Stream from Cantieri Biasin, https://www.youtube.com/watch?v=mr-O8qqLqeM
Rockanje Strand 1e slag Netherlands, https://www.youtube.com/watch?v=0q04F-t7sbU
Puerto Del Carmen Beach Canary Islands, https://www.youtube.com/watch?v=f9dVWHKRP8o
Scheveningen Noord Boulevard Netherlands, https://www.youtube.com/watch?v=DaG5JReOYEw
Arillas Corfu Greece, https://www.youtube.com/watch?v=NCdktMwvRB4
Namibia the Namib Desert, https://www.youtube.com/watch?v=ydYDqZQpim8
Tokyo Bay Japan, https://www.youtube.com/watch?v=qMDxy_qbdtE
Mount Fuji Japan, https://www.youtube.com/watch?v=Sv9hcJ3k5h4
Shizuoka City's Sata Pass, https://www.youtube.com/watch?v=oHci2QFaRZs



New York City, https://511ny.org/cctv?start=0&length=10&order%5Bi%5D=1&order%5Bdir%5D=asc # this one has a lot of cameras.
Hawaii, http://98.155.244.58/view/viewer_index.shtml?id=19638
HD Hot Tub Hawaii Papakea Resort, rtsptextrtsp://dummyurl/axis-media/media.amp?videocodec=mpeg4
Second View Papakea, http://98.155.244.58/view/viewer_index.shtml?id=19638
Akaka Japan Camera, http://218.219.228.113/live/index2.html?Language=1
Akaka Japan Camera 3, http://218.219.228.113/live/mainview3.html?Language=0&ViewMode=pull
Akaka Japan Camera 2, http://218.219.228.113/live/index.html?Language=0&ViewMode=pull
